insurance_type,age,vehicle_age,claim_amount,annual_premium,incidents,witness_count,policy_type,collision_type,police_report,is_fraud
auto,23,3,1687.08,3843.12,0,0,standard,none,no,0
property,65,0,2492.6,5058.88,1,2,standard,side,no,0
auto,58,12,4404.58,2033.06,1,3,basic,rear,no,0
auto,45,13,2345.32,1313.94,0,2,basic,front,no,0
auto,44,15,2996.33,1618.38,0,1,basic,none,yes,0
auto,71,19,4958.96,2290.83,1,3,basic,none,no,0
property,23,9,2852.24,827.58,0,0,standard,rear,no,0
health,61,16,4265.19,1357.98,0,0,premium,none,no,0
property,30,14,11102.33,3705.03,0,1,basic,rear,no,0
property,23,5,3228.26,1071.85,2,3,standard,front,yes,0
health,50,16,8312.67,1243.25,0,3,basic,none,no,0
health,78,1,5386.0,1820.01,0,2,basic,rear,yes,0
health,63,11,1303.66,2083.01,0,3,basic,none,yes,0
health,65,18,1683.29,1322.79,0,3,basic,none,yes,0
health,62,13,2031.4,1878.98,0,2,basic,side,no,0
health,66,18,2001.43,2450.31,0,0,standard,rear,yes,0
auto,49,1,3417.95,4820.95,0,3,standard,none,yes,0
health,25,10,5598.48,1697.44,1,2,standard,none,no,0
auto,70,15,8765.78,1771.09,1,0,standard,rear,no,0
health,45,12,4517.54,3880.53,1,3,basic,side,no,0
health,49,17,2665.17,1373.91,4,1,basic,none,no,0
health,40,9,847.62,932.46,2,3,basic,front,no,0
health,29,13,3825.38,2049.04,0,1,basic,side,yes,0
health,75,8,3707.23,3096.69,1,0,basic,front,yes,0
health,66,17,4138.34,2165.75,1,1,premium,front,yes,0
auto,57,2,15904.67,1722.43,1,1,premium,rear,no,0
auto,42,5,8676.88,876.38,1,3,standard,side,yes,0
auto,69,1,6307.8,1756.04,1,0,standard,rear,no,0
auto,51,14,1856.68,3349.54,0,3,standard,rear,no,0
auto,45,4,2542.5,975.49,0,0,standard,none,no,0
health,45,6,3407.07,1599.79,0,3,standard,rear,no,0
health,32,16,2115.86,1489.59,1,2,basic,rear,no,0
auto,23,7,5168.43,1275.57,0,1,premium,none,yes,0
property,52,2,4674.31,2046.65,1,3,standard,none,no,0
auto,73,0,1699.66,2256.69,0,1,basic,none,no,0
health,21,4,8415.0,2244.89,1,2,standard,rear,no,0
auto,71,18,3911.27,1109.42,2,0,standard,none,yes,0
health,69,10,1085.34,793.94,2,0,premium,none,no,0
auto,35,19,3512.42,2061.51,1,1,basic,none,yes,0
auto,57,4,4433.06,1403.94,1,0,standard,rear,yes,0
auto,28,7,7193.65,4533.08,0,0,basic,side,no,0
health,65,3,2874.88,4639.0,1,1,basic,side,yes,0
property,61,7,6500.0,4891.94,1,2,basic,none,yes,0
health,39,11,4150.56,1129.97,0,0,basic,side,no,0
health,22,16,1450.21,2403.51,0,3,basic,front,yes,0
auto,78,7,1352.06,2794.69,1,3,standard,none,no,0
health,45,15,7988.77,2641.7,0,3,standard,none,yes,0
property,73,12,8410.1,1514.44,0,0,standard,none,no,0
auto,60,5,4564.37,3427.49,1,3,basic,none,no,0
auto,66,18,10373.34,1808.47,2,0,standard,rear,no,0
auto,65,8,7628.35,1927.64,1,0,standard,none,no,0
auto,30,3,5875.46,838.05,0,2,standard,side,no,0
auto,40,19,1923.85,2495.84,1,3,standard,rear,no,0
health,46,18,12234.32,1587.31,2,0,basic,front,yes,0
health,48,0,5299.73,2281.05,2,1,basic,none,no,0
auto,20,18,2779.18,2033.59,2,1,premium,rear,no,0
property,51,18,2280.64,1979.24,0,2,basic,side,yes,0
property,27,16,4357.91,1767.19,1,2,basic,rear,yes,0
health,64,5,1130.32,2679.27,0,2,basic,none,no,0
property,60,12,5941.82,1636.89,2,0,standard,none,yes,0
property,75,10,1867.77,873.41,0,3,standard,front,yes,0
auto,64,12,4719.35,2403.01,0,2,standard,front,no,0
property,40,12,2527.2,1206.52,0,2,premium,none,no,0
auto,77,12,3025.73,932.5,0,1,basic,front,no,0
auto,43,10,2143.43,1084.5,1,0,basic,front,yes,0
auto,38,13,3252.37,2083.21,1,2,premium,none,no,0
health,74,10,13664.63,1722.86,2,1,standard,none,no,1
property,40,0,9600.22,622.45,2,0,standard,none,no,0
auto,22,0,4666.36,1492.45,0,2,standard,rear,no,0
health,47,19,3577.05,3244.17,0,1,basic,none,no,0
auto,67,18,6574.41,1442.82,1,3,premium,front,no,0
property,29,11,8030.32,1664.47,1,2,basic,none,yes,0
auto,46,3,2036.78,3045.73,1,1,standard,front,no,0
health,26,15,3448.84,2691.21,1,0,basic,front,no,0
health,60,2,1017.02,3013.55,0,1,standard,rear,no,0
auto,47,7,7991.8,452.02,1,0,standard,front,no,0
property,38,6,15452.36,4301.68,0,0,basic,front,yes,0
property,32,0,3850.88,2485.43,2,1,premium,none,yes,0
auto,52,16,822.62,6190.3,1,2,basic,none,no,0
health,59,10,5575.98,1222.72,0,0,basic,front,no,0
property,76,6,1933.6,748.65,1,0,basic,none,yes,0
auto,45,10,2288.51,1814.58,1,0,standard,none,no,0
auto,27,0,5645.44,1575.48,2,3,standard,none,yes,0
health,69,8,4351.12,2506.97,2,3,standard,side,no,0
health,57,10,2587.18,3094.76,1,1,standard,side,no,0
health,61,6,2310.63,1730.82,0,1,standard,none,no,0
health,24,16,3976.21,1603.02,0,1,premium,none,no,0
health,37,4,2733.6,2348.1,0,2,premium,front,yes,0
auto,65,2,1674.94,1590.55,1,2,basic,front,no,0
auto,69,10,2884.79,1525.4,1,1,standard,rear,no,0
auto,44,17,4617.99,3036.82,0,2,basic,side,no,0
auto,67,7,3214.18,3394.42,0,0,basic,side,no,0
health,70,0,1353.63,3108.77,0,2,standard,none,yes,0
property,42,19,7276.06,1662.18,3,3,standard,front,no,0
auto,73,8,535.3,620.24,0,0,standard,front,yes,0
health,35,3,2663.89,1678.9,0,2,standard,rear,no,0
auto,32,12,2358.69,1237.7,0,2,standard,rear,yes,0
auto,60,6,4038.89,1694.49,1,3,premium,front,yes,0
property,57,18,5394.65,1292.66,0,3,basic,rear,no,0
auto,26,5,8012.32,1789.39,1,0,basic,none,no,0
health,69,11,2211.26,1075.31,1,0,basic,front,no,0
auto,30,10,5489.58,953.03,1,0,basic,side,no,0
auto,67,4,4175.85,3332.06,2,2,premium,front,no,0
health,18,9,1098.74,1113.4,2,2,basic,none,no,0
health,67,2,13771.8,1808.34,2,2,basic,rear,yes,0
health,66,12,1329.9,2913.93,0,1,basic,none,yes,0
property,66,15,4883.65,2855.93,0,0,basic,rear,no,0
property,59,19,4783.71,2690.34,2,0,standard,side,yes,0
health,47,6,4415.81,2103.66,0,1,premium,side,no,0
auto,61,5,2575.49,2596.71,2,1,standard,none,no,0
auto,35,10,6496.88,3592.29,1,1,basic,none,no,0
health,66,13,1221.39,2236.15,1,0,standard,none,yes,0
health,52,19,3476.98,721.55,1,1,premium,front,no,0
auto,46,0,2453.54,1388.16,0,3,basic,rear,no,0
auto,49,4,2266.27,2561.08,2,0,standard,none,no,0
auto,53,5,4915.38,1321.41,0,3,standard,front,no,0
auto,20,5,7740.6,4064.53,2,0,standard,none,no,0
auto,26,9,2863.27,1751.82,0,2,basic,front,yes,0
property,33,17,6288.49,1886.78,1,0,standard,front,yes,0
health,25,0,3769.96,3172.81,1,1,standard,none,no,0
property,45,16,1949.03,1650.07,0,3,standard,front,yes,0
health,59,12,3039.46,1974.63,1,3,basic,none,yes,0
auto,58,12,2952.36,2834.33,1,2,basic,none,yes,0
health,47,13,2235.76,865.98,0,2,standard,front,no,0
property,71,2,4914.46,1567.68,0,2,standard,side,no,0
health,53,14,4290.9,2736.89,0,3,premium,rear,no,0
auto,22,4,1195.77,1868.33,0,2,standard,side,yes,0
health,65,10,1145.88,3765.62,2,2,basic,side,yes,0
auto,53,13,4901.41,822.24,1,0,standard,rear,yes,0
auto,57,12,2057.61,776.66,1,3,standard,none,no,0
auto,53,6,4498.18,2656.71,0,2,standard,side,no,0
auto,52,7,6289.6,2787.51,0,1,standard,rear,yes,0
property,23,9,1495.68,1641.52,0,0,basic,front,yes,0
auto,52,0,1355.5,2208.78,1,2,basic,none,yes,0
auto,67,14,11755.8,2624.39,0,3,basic,side,no,0
health,36,1,4656.87,1203.6,1,3,basic,none,no,0
property,55,9,2714.96,1269.75,1,3,standard,none,no,0
health,19,13,1893.61,1987.96,2,3,basic,none,no,0
auto,39,1,2547.05,2841.38,1,2,premium,none,yes,0
